stock,date,open,high,low,close,volume
Tesla,2025-04-07,223.78,252.0,214.25,233.29,183453776.0
Tesla,2025-04-04,255.38,261.0,236.0,239.43,181229353.0
Tesla,2025-04-03,265.29,276.3,261.51,267.28,136174291.0
Tesla,2025-04-02,254.6,284.99,251.27,282.76,212787817.0
Tesla,2025-04-01,263.8,277.45,259.25,268.46,146486911.0
Tesla,2025-03-31,249.31,260.56,243.3601,259.16,134008936.0
Tesla,2025-03-28,275.575,276.1,260.57,263.55,123809389.0
Tesla,2025-03-27,272.48,291.85,271.8216,273.13,162572146.0
Tesla,2025-03-26,282.66,284.9,266.51,272.06,156254441.0
Tesla,2025-03-25,283.6,288.2,271.28,288.14,150361538.0
Tesla,2025-03-24,258.075,278.64,256.33,278.39,169079865.0
Tesla,2025-03-21,234.985,249.52,234.55,248.71,132728684.0
Tesla,2025-03-20,233.345,238.0,230.0501,236.26,99028270.0
Tesla,2025-03-19,231.61,241.41,229.201,235.86,111993753.0
Tesla,2025-03-18,228.155,230.1,222.28,225.31,111477636.0
Tesla,2025-03-17,245.055,245.4,232.8,238.01,111900565.0
Tesla,2025-03-14,247.31,251.58,240.73,249.98,100242264.0
Tesla,2025-03-13,248.125,248.29,232.6,240.68,114813525.0
Tesla,2025-03-12,247.22,251.84,241.1,248.09,142215681.0
Tesla,2025-03-11,225.305,237.0649,217.02,230.58,174896415.0
Tesla,2025-03-10,252.54,253.37,220.0,222.15,185037825.0
Tesla,2025-03-07,259.32,266.2499,250.73,262.67,102369640.0
Tesla,2025-03-06,272.06,272.65,260.02,263.45,98451566.0
Tesla,2025-03-05,272.92,279.55,267.71,279.1,94042913.0
Tesla,2025-03-04,270.93,284.35,261.8401,272.04,126706623.0
Tesla,2025-03-03,300.34,303.94,277.3,284.65,115551414.0
Tesla,2025-02-28,279.5,293.88,273.6,292.98,115696968.0
Tesla,2025-02-27,291.16,297.23,280.88,281.95,101748197.0
Tesla,2025-02-26,303.715,309.0,288.04,290.8,100118276.0
Tesla,2025-02-25,327.025,328.89,297.2512,302.8,134228777.0
Tesla,2025-02-24,338.14,342.3973,324.7,330.53,76052321.0
Tesla,2025-02-21,353.44,354.98,334.42,337.8,74058648.0
Tesla,2025-02-20,361.51,362.3,348.0,354.4,45965354.0
Tesla,2025-02-19,354.0,367.34,353.67,360.56,67094374.0
